登記編號,工廠名稱,工廠地址,縣市別代碼,地址_行政區域代碼,地址_村里,地址_街路門牌,符合之產業類別
99676596,裕豐鐘錶企業,臺南市南區佛壇里興南街305號1樓,67000,67000330,佛壇里,興南街305號1樓,25金屬製品製造業
99676598,弘利機械廠,臺南市安南區新順里開安路22號,67000,67000350,新順里,開安路22號,29機械設備製造業
99676599,金鐵福企業社,臺南市南區佛壇里興南街339號1樓,67000,67000330,佛壇里,興南街339號1樓,25金屬製品製造業
99676601,應億企業有限公司,臺南市南區彰南里新樂路5號,67000,67000330,彰南里,新樂路5號,22塑膠製品製造業
99676602,淩凱企業股份有限公司,臺南市南區彰南里新義南路54之1號,67000,67000330,彰南里,新義南路54之1號,"29機械設備製造業,28電力設備及配備製造業"
99676606,聖豐表面處理企業社,臺南市南區佛壇里興南街416號1樓,67000,67000330,佛壇里,興南街416號1樓,25金屬製品製造業
99676608,居財企業有限公司,臺南市安南區布袋里工明三路8號,67000,67000350,布袋里,工明三路8號,25金屬製品製造業
99676614,川淺企業股份有限公司,臺南市南區佛壇里興南街329號,67000,67000330,佛壇里,興南街329號,"29機械設備製造業,28電力設備及配備製造業,30汽車及其零件製造業,27電腦、電子產品及光學製品製造業"
99676617,怡德企業社,臺南市南區彰南里新義路16號之2,67000,67000330,彰南里,新義路16號之2,22塑膠製品製造業
99676619,明泉精密科技有限公司,臺南市安南區海佃里海佃路2段114號,67000,67000350,海佃里,海佃路2段114號,"29機械設備製造業,25金屬製品製造業"
99676620,信宏科技製藥股份有限公司,臺南市南區彰南里新信路5號A棟,67000,67000330,彰南里,新信路5號A棟,20藥品及醫用化學製品製造業
99676621,統虹服裝有限公司,臺南市安南區溪東里府安路5段98巷49號1樓,67000,67000350,溪東里,府安路5段98巷49號1樓,12成衣及服飾品製造業
99676627,大新遊艇股份有限公司新和廠,臺南市南區彰南里新和路24號,67000,67000330,彰南里,新和路24號,31其他運輸工具及其零件製造業
99676631,盈昌科技工業股份有限公司,臺南市安南區鹽田里工業五路30號,67000,67000350,鹽田里,工業五路30號,18化學材料及肥料製造業
99676633,喬霸企業股份有限公司,臺南市安南區安順里開安五街16、18號,67000,67000350,安順里,開安五街16、18號,25金屬製品製造業
99676635,宇生企業有限公司,臺南市東區崇德里崇德六街89號1樓,67000,67000320,崇德里,崇德六街89號1樓,28電力設備及配備製造業
99676636,信安紙業有限公司,臺南市南區彰南里新孝路190號,67000,67000330,彰南里,新孝路190號,16印刷及資料儲存媒體複製業
99676641,泳昌企業有限公司和順廠,臺南市安南區新順里安和路4段36巷194號,67000,67000350,新順里,安和路4段36巷194號,29機械設備製造業
99676642,名昱機電廠有限公司,臺南市安南區海南里府安路7段93巷10號,67000,67000350,海南里,府安路7段93巷10號,29機械設備製造業
99676655,神逵企業有限公司,臺南市南區佛壇里興南街273號,67000,67000330,佛壇里,興南街273號,29機械設備製造業
99676657,志和工業有限公司,臺南市安南區安順里開安二街11號,67000,67000350,安順里,開安二街11號,"26電子零組件製造業,30汽車及其零件製造業,31其他運輸工具及其零件製造業,29機械設備製造業"
99676659,亞士多企業有限公司,臺南市北區國興里開元路370號,67000,67000340,國興里,開元路370號,"12成衣及服飾品製造業,13皮革、毛皮及其製品製造業"
99676665,坤琳金屬企業有限公司,臺南市南區日新里新興路481巷6號,67000,67000330,日新里,新興路481巷6號,25金屬製品製造業
99676667,福品工業有限公司,臺南市安南區布袋里工明南三路202號,67000,67000350,布袋里,工明南三路202號,"22塑膠製品製造業,30汽車及其零件製造業,31其他運輸工具及其零件製造業,25金屬製品製造業"
99676668,上曜有限公司工廠,臺南市南區建南里德興路318號,67000,67000330,建南里,德興路318號,33其他製造業
99676669,來利科技有限公司,臺南市安南區新順里永安路50號1樓,67000,67000350,新順里,永安路50號1樓,29機械設備製造業
99676672,有程精密股份有限公司,臺南市安南區布袋里工明南二路71號,67000,67000350,布袋里,工明南二路71號,25金屬製品製造業
99676677,紳芳企業有限公司,臺南市安南區海佃里海佃路1段413號1樓,67000,67000350,海佃里,海佃路1段413號1樓,28電力設備及配備製造業
99676682,貫義機械工程有限公司,臺南市南區大恩里國民路165巷35弄49號,67000,67000330,大恩里,國民路165巷35弄49號,"25金屬製品製造業,29機械設備製造業"
99676683,洪鈞電子股份有限公司,臺南市安平區國平里建平三街185號,67000,67000360,國平里,建平三街185號,"26電子零組件製造業,28電力設備及配備製造業"
99676687,連發米粉工廠,臺南市北區成功里西門路4段533巷3號,67000,67000340,成功里,西門路4段533巷3號,08食品製造業
99676688,泰緯實業有限公司,臺南市安南區布袋里工明南一路90號,67000,67000350,布袋里,工明南一路90號,29機械設備製造業
99676689,泰盛實業工廠,臺南市安南區塭南里環福街158號,67000,67000350,塭南里,環福街158號,22塑膠製品製造業
99676693,煒駿實業有限公司工廠,臺南市北區成德里西門路4段19巷40號1樓,67000,67000340,成德里,西門路4段19巷40號1樓,12成衣及服飾品製造業
99676697,廣玖有限公司,臺南市北區文元里文賢路1122巷34弄16號,67000,67000340,文元里,文賢路1122巷34弄16號,"25金屬製品製造業,26電子零組件製造業,30汽車及其零件製造業,31其他運輸工具及其零件製造業"
99676701,漢燿企業有限公司,臺南市安南區新順里開安一街8巷15弄30號,67000,67000350,新順里,開安一街8巷15弄30號,"29機械設備製造業,22塑膠製品製造業"
99676702,偉本企業股份有限公司安平廠,臺南市南區彰南里新和二路8號,67000,67000330,彰南里,新和二路8號,"25金屬製品製造業,28電力設備及配備製造業"
99676704,榮元製衣股份有限公司,臺南市中西區文賢里文和街69號1樓,67000,67000370,文賢里,文和街69號1樓,12成衣及服飾品製造業
99676706,耀聯室內裝修實業有限公司,臺南市中西區協和里協和街166號,67000,67000370,協和里,協和街166號,32家具製造業
99676710,富琮實業股份有限公司,臺南市南區省躬里明興路979號1樓,67000,67000330,省躬里,明興路979號1樓,25金屬製品製造業
99676712,金泉源麵食品有限公司,臺南市安南區布袋里工明南一路19號,67000,67000350,布袋里,工明南一路19號,08食品製造業
99676713,山立開發有限公司,臺南市北區文元里文賢路1122巷64弄24號1樓,67000,67000340,文元里,文賢路1122巷64弄24號1樓,28電力設備及配備製造業
99676718,達泰科技股份有限公司,臺南市安南區鹽田里工業二路21號3樓,67000,67000350,鹽田里,工業二路21號3樓,"26電子零組件製造業,22塑膠製品製造業"
99676722,大日豪實業股份有限公司,臺南市安南區鹽田里科技一路5號B區,67000,67000350,鹽田里,科技一路5號B區,"28電力設備及配備製造業,22塑膠製品製造業,33其他製造業"
99676723,統富工業有限公司台南廠,臺南市南區同安里明興路1425巷29號壹樓,67000,67000330,同安里,明興路1425巷29號壹樓,30汽車及其零件製造業
99676724,承泉興實業有限公司,臺南市安南區布袋里工明三路51號,67000,67000350,布袋里,工明三路51號,25金屬製品製造業
99676726,捷成塑膠工廠股份有限公司,臺南市南區彰南里新樂路42號,67000,67000330,彰南里,新樂路42號,22塑膠製品製造業
99676731,廣豐交通器材有限公司,臺南市南區佛壇里興南街408號,67000,67000330,佛壇里,興南街408號,"30汽車及其零件製造業,31其他運輸工具及其零件製造業"
