登記編號,工廠名稱,工廠地址,縣市別代碼,地址_行政區域代碼,地址_村里,地址_街路門牌,符合之產業類別
99657918,頂益食品有限公司官田廠,臺南市官田區二鎮里富強路49號,67000,67000100,二鎮里,富強路49號,08食品製造業
99657922,瑞隆食品工廠,臺南市白河區白河里新富街34之3號,67000,67000030,白河里,新富街34之3號,08食品製造業
99657936,謙和行,臺南市新營區王公里中正路120之3號,67000,67000010,王公里,中正路120之3號,08食品製造業
99657945,統一超食代股份有限公司台南廠,臺南市麻豆區麻口里麻豆口1之23號,67000,67000070,麻口里,麻豆口1之23號,08食品製造業
99657965,新東碾米廠,臺南市後壁區新東里新港東80之2號,67000,67000050,新東里,新港東80之2號,08食品製造業
99657969,福泰碾米工廠,臺南市後壁區嘉苳里下茄苳110之1號,67000,67000050,嘉苳里,下茄苳110之1號,08食品製造業
99657976,台灣福基畜牧股份有限公司,臺南市麻豆區小埤里埤頭1之1號,67000,67000070,小埤里,埤頭1之1號,08食品製造業
99657978,典成碾米工廠,臺南市白河區外角里三民路258號,67000,67000030,外角里,三民路258號,08食品製造業
99657981,皇家可口股份有限公司台南廠,臺南市新市區永就里中山路182之1號,67000,67000200,永就里,中山路182之1號,"08食品製造業,09飲料製造業"
99657994,統一企業股份有限公司冰品廠,臺南市永康區王行里經中路1號,67000,67000310,王行里,經中路1號,08食品製造業
99657995,統一企業股份有限公司麻豆廠,臺南市麻豆區麻口里麻豆口1之30號,67000,67000070,麻口里,麻豆口1之30號,08食品製造業
99657996,統一企業股份有限公司新巿廠,臺南市新市區大營里大營7號,67000,67000200,大營里,大營7號,"08食品製造業,09飲料製造業"
99658012,瑞隆精米工廠,臺南市白河區昇安里3間厝260號,67000,67000030,昇安里,3間厝260號,08食品製造業
99658013,延尚企業有限公司仁德廠,臺南市仁德區保安里開發六路42號,67000,67000270,保安里,開發六路42號,"08食品製造業,09飲料製造業"
99658016,高沂股份有限公司,臺南市仁德區保安里開發五路14號,67000,67000270,保安里,開發五路14號,08食品製造業
99658029,永發食品廠,臺南市仁德區保安里開發一路2號,67000,67000270,保安里,開發一路2號,08食品製造業
99658039,億昌飼料股份有限公司,臺南市仁德區保安里民生路10號,67000,67000270,保安里,民生路10號,08食品製造業
